source,target,type,relationship
MS1.8,g3,directed,glyph
MS1.8,g3,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g53,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g53,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g11,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g13,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g53,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g11,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g11,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g53,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g12,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g12,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g11,directed,glyph
MS2.1,g12,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g11,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g10,directed,glyph
MS2.1,g3,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g8,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g12,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g6,directed,glyph
MS2.1,g13,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g14,directed,glyph
MS2.1,g3,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g2,directed,glyph
MS2.1,g5,directed,glyph
MS2.1,g4,directed,glyph
MS2.1,g1,directed,glyph
MS2.1,g4,directed,glyph
